sample_id,product_name,brands,query,text_blob,image_url,gold_claim_detected,gold_specificity,gold_risk_score,gold_notes
P001,Nussmix,Alesto,vegan,"Product name: Nussmix
Brand: Alesto
Generic name: Nusskernmischung, naturbelassen
Ingredients: 25% Walnusskerne, 25% Haselnusskerne, 25% Cashewkerne, 25% blanchierte Mandeln. Kann Spuren von anderen Schalenfrüchten und Erdnüssen enthalten.
Labels: Vegetariano,Omega-3,Fuente de proteínas,Vegano,Nutriscore A,Source of omega-3,V-Label International,V-Label International Vegan
Categories: Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Frutos de cáscara y derivados,Frutos de cáscara,en:Mixed nuts,Mezcla de frutos secos sin cáscara
Packaging: pecan, noix du Brésil, pistaches, noix de contenir des traces pisettes, macadamia) et d'arachides. Conditionné sous atmosphère protectrice. A conserver à l'abri de la chaleur et de l'humidité. Non ouvert, à consommer de préférence avant le: voir au-dessous. Attention: la consommation de fruits à coque est déconseillée aux jeunes enfants en raison des risques d'étouffement. Ce produit est un produit naturel. En dépit des contrôles 25% 200 ge von:/Produit par:/Prodotto da: Solent GmbH & Co. KG, Hansemann-Str. 1-25, D-52531 Übach-Palenberg, and/Allemagne/Germania Eiweiss/Protéines/Proteine Salz/Sel/Sale étrangers (e.a. des résidus d'écorces). Les valeurs des résidus de corps Erwachsenen (8400 kJ/2000 adulte-type (8400 kJ/2000 kcal adulto medio (8400 kJ/2000 kcal A nutritionnelles indiquées sont soumises aux variations biologiques RI (reference intake) Refere 25% nocciole, 25% noci di acagiù, 25% mandorle pelate. Può contenere IT CH Mix di frutta a guscio sgusciata. Ingredienti: 25% noci, noci macadamia) e arachidi. Confezionato in atmosfera protettiva. tracce di altra frutta a guscio (noci di pecan, noci del Brasile, pistacchi, Omega-3-Fettsäuren: 2,2 g/100g/ Acidi grassi Om Diese Verpackung enthält ca 65 Conservare in luogo fresco e asciutto. Da consumarsi preferibilmente entro il fim confezione integra): vedere sotto. Attenzione: la frutta a guscio non è environ 6,5 portions de 30 g/Que adatta ai bambini piccoli, rischio di soffocamento. Poiché si tratta di un prodotto naturale e nonostante una lavorazione accurata non si garantisce la mpleta eliminazione di noccioli e corpi estranei (frammenti di noccioli, ecc.). Confezione: 7 (Plastica). Raccolta differenziata. Verifica le izioni del tuo Comune. gewicht:/ net/Peso netto: di cui acidi grassi saturi gras saturés/ Kohlenhydrate/Glucides/ Carboidrati davon Zucker/dont suc di cui zuccheri Ballaststoffe/Fibres alime Fibre Prodotto per: Lidl Stiftung & Co. KG, Stiftsbergstr. 1, D-74167 Neckarsulm ad/Allemagne/Germania ✪ 0% Ungeöffnet mindestens a de préférence avant le/Dacon in confezione integral r 10% The weight of this p been reduced by 12% 24.12.202 L 3058 02 611 19/05/2023 11:25",https://images.openfoodfacts.org/images/products/000/002/004/7238/front_en.608.400.jpg,,,,
P002,Pain de mie Bio grandes tranches céréales & graines 500g,La boulangère bio,organic,"Product name: Pain de mie Bio grandes tranches céréales & graines 500g
Brand: La boulangère bio
Generic name: Pain de mie tranché aux céréales et graines issu de l'agriculture biologique
Ingredients: Farine de BLÉ*/** 56%, eau, levure, huile de tournesol*/** 4,5%, sucre de canne roux*, levure, graines de tournesol décortiquées* 3,4%, vinaigre de cidre*, flocons de BLÉ* 2,8 %, graines de lin brun* 2,8%, farine de SEIGLE * 1,6 %, graines de millet décortiquées* 1,6 %, GLUTEN DE BLÉ*, sel, farine d'ORGE maltée torréfiée* 0,2%, levure désactivée, agent de traitement de la farine : acide ascorbique. Traces éventuelles d'œufs, soja, lait, moutarde et graines de sésame. *Ingrédients issus de l'Agriculture Biologique. **Ingrédients issus du commerce équitable Français.
Labels: Fair trade,Organic,EU Organic,Non-EU Agriculture,1% for the planet,EU Agriculture,EU/non-EU Agriculture,Fair-Trade Organic,FR-BIO-01,FR-BIO-10,Green Dot,Made in France,Nutriscore,Nutriscore Grade A,AB Agriculture Biologique,Agri-Éthique France,fr:Farine de blé français,fr:Equitable & Local, Végétarien
Categories: Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Sliced breads,Multigrain sliced breads, Céréales et dérivés, en:Packaged breads
Packaging: Plastique,Sachet,Film en plastique,Sachet plastique et fermoir à jeter",https://images.openfoodfacts.org/images/products/376/004/979/4298/front_fr.194.400.jpg,,,,
P003,Céréales Muesli croustillant aux fruits rouges doypack de 500g,U,recyclable,"Product name: Céréales Muesli croustillant aux fruits rouges doypack de 500g
Brand: U
Generic name: Pépites croustillantes de céréales aux fruits rouges lyophilisés
Ingredients: Céréales [flocons d'AVOINE complète 55%, flocons de BLE complet 7.2%, farine de BLE 5.4%, céréales extrudées (semoule de riz, farine de BLE 1.9%, sucre, farine de MALT de BLE, sel, sucre caramélisé en poudre), pétales de maïs (maïs, sucre, extrait de MALT D'ORGE, sel, émulsifiant : mono - et diglycérides d'acides gras)], sucre, huile de tournesol (huile de tournesol, antioxydant : extrait riche en tocophérols), fruits rouges lyophilisés 3% (fraises, myrtilles, framboises), noix de coco en poudre, amidon de maïs, caramel (sucre, eau), arôme naturel. Traces éventuelles de soja, lait et fruits à coque
Labels: Emballage recyclable à 100%,Nutriscore,Nutriscore B,Transformé en France,3-de-fruits,Triman,Riche en fibres
Categories: Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales aux fruits, Mueslis, Mueslis croustillants, Mueslis aux fruits, Mueslis croustillants aux fruits
Packaging: Plastique, Sachet, Carton, Paquet, Gourde, Pensez au tri!, Point vert, Sachet en plastique, Sachet plastique à jeter",https://images.openfoodfacts.org/images/products/325/622/039/4086/front_fr.133.400.jpg,,,,
P004,Biscuit lait chocolat,"Gerblé,Gerblé Vitalité,Nutrition & Santé",natural,"Product name: Biscuit lait chocolat
Brand: Gerblé,Gerblé Vitalité,Nutrition & Santé
Generic name: Biscuits aux pépites de chocolat et au lait, source de vitamine B6, B9, E, calcium et magnésium
Ingredients: Farine de blé 53,5%, sucre non raffiné, huile de colza, pépites de chocolat 8,4% (pâte de cacao¹, sucre, beurre de cacao', émulsifiant: lécithines (soja)), germe de blé 5,5%, farine de maïs, lait fermenté écrémé pasteurisé en poudre 2,6%, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), fibres d'avoine, magnésium, arôme naturel, sel de mer, émulsifiant: lécithines, amidon de blé, vitamines (E, B6, B9).
Labels: Low or no fat,Low fat,No preservatives,Reduced fat,Source of fibre,Sustainable farming,Calcium source,EU Agriculture,Green Dot,High fibres,Made in France,Magnesium source,Natural flavors,No colorings,No dyes or preservatives,No palm oil,Nutriscore,Nutriscore Grade C,Rainforest Alliance,Rainforest Alliance Cocoa,UTZ Certified,UTZ Certified Cocoa,Vitamin B6 source,Vitamin B9 source,Vitamin E source,fr:Farine de blé français,fr:Ble-durable
Categories: Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Chocolate biscuits
Packaging: Plastic,Box,Dry,fr:Etui en carton,fr:Sachet en plastique",https://images.openfoodfacts.org/images/products/317/568/001/1534/front_fr.186.400.jpg,,,,
P005,Boisson à l’avoine,Alpro,vegan,"Product name: Boisson à l’avoine
Brand: Alpro
Generic name: Boisson à l'avoine avec calcium et vitamines ajoutés
Ingredients: Eau, avoine 10%, huile de tournesol, calcium, fibres de chicorée, sel marin de table, stabilisant : gomme gellane, iodure de potassium, vitamines B2, B9, D2
Labels: Végétarien,Sans conservateurs,Source de fibres alimentaires,Végétalien,100% végétal,Source de calcium,Entreprise B certifiée,Agriculture UE,Union Végétarienne Européenne,Union Végétarienne Européenne Végétalien,FSC,FSC Mix,Point Vert,Riche en fibres,Sans sucre ajouté,Sans colorants,Sans lactose,Sans acides gras trans,Nutriscore,Nutriscore A,Riche en vitamine B,Source de vitamine B12,Source de vitamine D,À l'huile de tournesol,Sans ajout de produit laitiers,Sans édulcorants,Triman,Vegan Cert
Categories: Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Céréales et pommes de terre,Substituts de produits laitiers,Céréales et dérivés,Substituts du lait,Boissons à base de végétaux,Boissons végétales,Boissons végétales de céréales,Boissons sans sucre ajouté,Boissons à l'avoine,Boisson avoine
Packaging: en:composite-carton",https://images.openfoodfacts.org/images/products/541/118/811/5366/front_en.270.400.jpg,,,,
P006,Pomme Noisette,Gerblé,natural,"Product name: Pomme Noisette
Brand: Gerblé
Generic name: Biscuits aux pommes et aux noisettes, très pauvres en sel, riches en vitamines B1, B2, B9 et E et source de vitamines PP et B6
Ingredients: Farine de blé 68,6%, huile de colza, sirop de sucres issu de fruits, jus de pomme concentré 5,3%, noisettes torréfiées 5,3%, germe de blé 5,2%, fibres de chicorée, extrait de malt d'orge, arôme naturel de pomme, émulsifiant : lécithines, poudres à lever (carbonates de potassium, tartrates de potassium), amidon de blé, vitamines (E, PP, B2, B6, B1, B9).
Labels: Low or no sugar,Low sugar,Enriched with vitamins,Low or no Sodium,No preservatives,Non-EU Agriculture,Reduced sugar,Rich in vitamin E,Source of fibre,Sustainable farming,EU Agriculture,EU/non-EU Agriculture,High fibres,Low Sodium,Made in France,Natural flavors,No colorings,No dyes or preservatives,No palm oil,Nutriscore,Nutriscore Grade A,Rich in vitamin B1,Rich in vitamin B9,Vitamin B6 source,Without sweeteners,fr:Farine de blé français,Triman
Categories: Snacks,Sweet snacks,Biscuits and cakes,Biscuits and crackers,Biscuits,Dry biscuits
Packaging: R PENSEZ AU TRI ! FILM PLASTIQUE ETUI CARTON À JETER O A RECYCLER",https://images.openfoodfacts.org/images/products/317/568/185/1849/front_fr.267.400.jpg,,,,
P007,Geröstete Mandel Ohne Zucker,alpro,vegan,"Product name: Geröstete Mandel Ohne Zucker
Brand: alpro
Generic name: Mandeldrink, angereichert mit Calcium und Vitaminen
Ingredients: Wasser, _Mandeln_ (2,3%), Calcium (Calciumcarbonat), Meersalz, Stabilisatoren (Guarkernmehl, Gellan), Emulgator (Lecithine), natürliches Aroma, Vitamine B12, D2, E.
Labels: Peu ou pas de matière grasse,Peu ou pas de sucre,Végétarien,Peu de matière grasse,Sans gluten,Sans lait,Sans conservateurs,Végétalien,Source de calcium,Entreprise B certifiée,Union Végétarienne Européenne,Union Végétarienne Européenne Végétalien,FSC,FSC Mix,Faible teneur en graisses saturées,Sans colorants,Sans colorants ou conservateurs,Sans sucre,Nutriscore,Nutriscore B,À base de plantes,The Vegan Society,Sans édulcorants,Triman
Categories: Boissons et préparations de boissons,Aliments et boissons à base de végétaux,Boissons,Aliments d'origine végétale,Substituts de produits laitiers,Substituts du lait,Fruits à coques et dérivés,Boissons à base de végétaux,Boissons végétales,Boissons végétales de fruits à coque,Laits d'amande
Packaging: Kunststoff, Verbundstoff, Tetra Pak, Ziegel, Packung, Tetra Brik, Tetra Brik Aseptic, en:composite-carton",https://images.openfoodfacts.org/images/products/541/118/811/2709/front_en.927.400.jpg,,,,
P008,Avoine - Boisson biologique,Bjorg,organic,"Product name: Avoine - Boisson biologique
Brand: Bjorg
Generic name: Boisson biologique à base d'avoine et d'algue Lithothamniul calcareum source de calcium, stérilisée UHT
Ingredients: Eau, Avoine* 11%, Huile de tournesol* pressée à froid, Sel marin. *Ingrédients biologiques
Labels: Organic, EU Organic, Non-EU Agriculture, Certified B Corporation, EU Agriculture, EU/non-EU Agriculture, FR-BIO-01, FSC, FSC Mix, Green Dot, IT-BIO-005, IT-BIO-006, Made in Italy, Made in Spain, New recipe, No added sugar, Planet-Score, Planet-Score Grade A, AB Agriculture Biologique, Triman, Es-eco-033-cl, en:it-bio-007
Categories: Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based foods,Cereals and potatoes,Dairy substitutes,Cereals and their products,Milk substitutes,Plant-based beverages,Plant-based milk alternatives,Cereal-based drinks,Unsweetened beverages,Oat-based drinks,fr:Boissons-vegetales-a-base-d-avoine
Packaging: Tetra Pak, Brick, Cardboard, fr:Brique carton et son bouchon à recycler, fr:Brique en carton, fr:Pensez au tri!, fr:Point vert, nl:FSC C014047, nl:FSC Mixte, nl:Foodsafe, nl:Tetra Brik Aseptic",https://images.openfoodfacts.org/images/products/322/982/079/2132/front_fr.178.400.jpg,,,,
P009,Soft Baked Breakfast Bars Strawberry,Kellogg's Nutri Grain,recycled,"Product name: Soft Baked Breakfast Bars Strawberry
Brand: Kellogg's Nutri Grain
Generic name: Soft baked breakfast bars with strawberries
Ingredients: CRUST: WHOLE GRAIN OATS, ENRICHED FLOUR (WHEAT FLOUR, NIACIN, REDUCED IRON, VITAMIN B, THAMIN MONONITRATE VITAMIN B₂ RIBOFLAVIN, FOLIC ACID), SOYBEAN OIL, WHOLE WHEAT FLOUR, SUGAR, DEXTROSE, FRUCTOSE, CALCIUM CARBONATE, VEGETABLE GLYCERIN, INVERT SUGAR, WHEY, SOLUBLE CORN FIBER, SALT, CELLULOSE, NATURAL FLAVOR, POTASSIUM BICARBONATE, VITAMIN AND MINERAL BLEND (SALT, NIACINAMIDE, REDUCED IRON, ZINC OXIDE, VITAMIN A PALMITATE, VITAMIN B₁ [THIAMIN HYDROCHLORIDE, VITAMIN B6 [PYRIDOXINE HYDROCHLORIDE, VITAMIN B₂ [RIBOFLAVIN), WHEAT BRAN, MONO - AND DIGLYCERIDES, SOY LECITHIN, WHEAT GLUTEN, CARRAGEENAN, GUAR GUM, FILLING INVERT SUGAR, CORN SYRUP, STRAWBERRY PUREE CONCENTRATE, VEGETABLE GLYCERIN, SUGAR, VEGETABLE JUICE FOR COLOR, MODIFIED FOOD STARCH, SODIUM CITRATE, SODIUM ALGINATE, CITRIC ACID, NATURAL FLAVOR, DICALCIUM PHOSPHATE, METHYLCELLULOSE, MALIC ACID
Labels: U,No high fructose corn syrup,Certified 100% Recycled Paperboard
Categories: Fruits cereal bars
Packaging:",https://images.openfoodfacts.org/images/products/003/800/035/9002/front_en.42.400.jpg,,,,
P010,Muesli avoine chocolat bio,Bjorg,organic,"Product name: Muesli avoine chocolat bio
Brand: Bjorg
Generic name: Muesli
Ingredients: Flocons d'avoine* complète 37%, Flocons croustillants d'avoine* 33% (avoine complète, miel*), Flocons de blé* complet, Pétales de maïs au chocolat* 7% [pétales de maïs* (maïs*, sucre de canne* brut, sel de mer), sucre de canne* brut, beurre de cacao*, pâte de cacao*, lait* entier en poudre, agent d'enrobage : gomme arabique], Chocolat noir* 5% (pâte de cacao*, sucre de canne* brut, beurre de cacao*), Flocons d'épeautre* complet (blé), Billettes au cacao* (farine de blé*, sucre de canne* brut, farine d'avoine*, poudre de cacao* maigre, farine de malt d'orge*).
Labels: Organic,EU Organic,Non-EU Agriculture,Certified B Corporation,DE-ÖKO-001,EU Agriculture,EU/non-EU Agriculture,Green Dot,Made in Germany,Planet-Score,AB Agriculture Biologique,fr:Planet-score-b
Categories: Plant-based foods and beverages,Plant-based foods,Breakfasts,Cereals and potatoes,Cereals and their products,Breakfast cereals,Chocolate cereals,Mueslis,Mueslis with chocolate
Packaging: Plástico,Bolsa,en:Dry,fr:Sachet en plastique",https://images.openfoodfacts.org/images/products/322/982/076/9165/front_en.148.400.jpg,,,,
